chapter,figure,script,present,caption,note
3,3.8,ch03/make_fig3_8.py,yes,"The same recording of تين (tīn, ‘figs’) as captured at 16 kHz, and after passing through a telephone channel: band-limited to 300 to 3400 Hz and resampled to 8 kHz. Nothing else differs, so every difference between the c",
4,4.1,ch04/make_fig4_1.py,yes,"shows how the four fit together at recognition time: features enter on one side, the decoder searches a space jointly defined by the acoustic model, the lexicon, and the language model, and the most probable word sequenc",
4,4.2,ch04/make_fig4_2.py,yes,"Word Error Rate as a minimum edit distance, on the sentence ذهب الأولاد إلى المدرسة (dhahaba al-awlād ilā al-madrasa, ‘the boys went to the school’) and what a recognizer wrote instead. The grid counts the fewest word ch",
4,4.3,ch04/make_fig4_3.py,yes,"A left-to-right HMM for the word باب (bāb, ‘door’): three states per phone for /b aː b/, self-loops absorbing duration, and a Gaussian-mixture emission distribution sketched above one state.",
4,4.4,ch04/make_fig4_4.py,yes,"The HCLG composition: four transducers, HMM topology (H), context (C), lexicon (L), and language model (G), compose into one searchable decoding graph.",
4,4.5,ch04/make_fig4_5.py,yes,"GMM-HMM versus DNN-HMM: the HMM states, lexicon, language model, and decoding graph are identical; the Gaussian mixtures that scored each frame are replaced by one deep network emitting senone posteriors.",
4,4.6,ch04/make_fig4_6.py,yes,"One Conformer block: a half-step feed-forward layer, multi-head self-attention for global context, a convolution module for local acoustic structure, a second half-step feed-forward layer, and a closing layer normalizati",
5,5.1,ch05/make_fig5_1.py,yes,"What the blank symbol is for, worked through on ممكن (mumkin, ‘possible’), whose first two letters are both mīm. Read each part from the bottom up. In A the network labels every frame with a real token, so merging the re",
5,5.2,ch05/make_fig5_2.py,yes,"The RNN-Transducer: an acoustic encoder, a prediction network over the output history, and a joint network that combines them to emit the next token or a blank. The monotonic structure makes it well suited to streaming.",
5,5.3,ch05/make_fig5_3.py,yes,An attention-based encoder-decoder and its attention heatmap. A healthy alignment forms a roughly diagonal band from encoder frames to output tokens; looping and deletions show up as a broken or scattered band.,
5,5.4,ch05/make_fig5_4.py,yes,"Hybrid CTC/attention: one shared encoder feeds a CTC head and an attention decoder. Training minimizes a weighted sum of the two losses, and decoding scores with both, combining monotonic stability with attention's accur",
5,5.5,ch05/make_fig5_5.py,yes,"How the language-model fusion weight affects the Word Error Rate (WER). The shape is illustrative rather than measured: too small a weight under-uses the external text, and too large a weight lets the language model over",
6,6.1,ch06/make_fig6_1.py,yes,"How speech models learn, ordered from most to least hand-labeling. Supervised training uses only labeled pairs; semi-supervised self-training adds pseudo-labeled audio; self-supervised pretraining needs no labels for its",
6,6.2,ch06/make_fig6_2.py,yes,"The wav2vec 2.0 architecture: a convolutional feature encoder, a quantizer that maps the latents to a discrete codebook, and a context Transformer trained to pick the true quantized unit for a masked position against dis",
6,6.3,ch06/make_fig6_3.py,yes,"The HuBERT training loop: cluster speech features into pseudo-labels, mask spans and predict the cluster of the masked frames, then re-cluster from the improved model and repeat.",
6,6.4,ch06/make_fig6_4.py,yes,"Layer-wise probing (illustrative). Speaker information tends to peak in early layers, while phonetic information peaks in the middle layers, so the most useful layer depends on the task.",
6,6.5,ch06/make_fig6_5.py,yes,"Parameter-efficient adaptation. The pretrained block stays frozen, shown in grey; the only trainable parts are the two orange inserts, an adapter bottleneck placed in the path and a LoRA update added to a frozen projecti",
6,6.6,ch06/make_fig6_6.py,yes,"Per-dialect WER before and after Arabic fine-tuning (illustrative). Every variety improves, yet the pooled average, drawn as the dashed line, sits below three of the four, because the test set is mostly Modern Standard A",
7,7.1,ch07/make_fig7_1.py,yes,"places every resource in the catalog on a release timeline, from the early KACST and King Saud University databases to the multidialectal corpora and learner collections of the 2020s.",the script was written as make_fig7_2.py before the chapter renumbered
7,7.2,ch07/make_fig7_2.py,yes,"The data pipeline from recruitment to release. Each box is a step a project has to plan for, and the two that are easiest to underestimate are the ones in the middle. Quality control and annotator agreement is where most",the script was written as make_fig7_3.py before the chapter renumbered
7,7.3,ch07/make_fig7_3.py,yes,"A Praat annotation view of the word تين, tin, ‘figs’, taken from the recording Chapter 2 uses for Figure 2.4. The waveform and the spectrogram are computed from the audio, not drawn, and the word and phone tiers carry la",the script was written as make_fig7_4.py before the chapter renumbered
7,7.4,ch07/make_fig7_4.py,yes,"Transcribed hours per Arabic variety, drawn to show the shape of the imbalance rather than to be read off: Modern Standard Arabic dominates and the dialects fall away into a long tail, every one of them under-served. The",the script was written as make_fig7_5.py before the chapter renumbered
8,8.1,ch08/make_fig8_1.py,yes,"The major spoken-dialect groups, laid out west to east and south to north on their approximate geography, with a line drawn between every pair whose regions share a border or a short sea crossing. This is a schematic and",
8,8.2,ch08/make_fig8_2.py,yes,"The dialect identification pipeline. One utterance becomes frame-level features, whether hand-designed or produced by a self-supervised encoder; those frames are pooled into a single fixed-length vector, the utterance em",
8,8.3,ch08/make_fig8_3.py,yes,"Self-supervised speech embeddings projected to two dimensions and marked by dialect. The values are invented, which is why the axes carry no numbers and the panel says so. What the picture shows is the shape the real thi",
8,8.4,ch08/make_fig8_4.py,yes,The three speaker tasks side by side. Identification chooses among a closed gallery of enrolled speakers and returns which one. Verification compares one utterance against one claimed identity and returns a decision. Dia,
8,8.5,ch08/make_fig8_5.py,yes,"The clustering pipeline for diarization. Silence is removed, the speech is cut into short windows, each window becomes one speaker embedding, and the embeddings are clustered so that each cluster is one person. The weak ",
8,8.6,ch08/make_fig8_6.py,yes,"What cleaning the audio cost, on Arabic. Four published word error rates for one fine-tuned model on the Saudi broadcast corpus, with the differences between them computed rather than asserted [29]. The first bar fixes w",
8,8.7,ch08/make_fig8_7.py,yes,"Spoken document retrieval, in two phases that run on different schedules. The upper row is indexing: the archive is passed once through a recognizer or a phonetic indexer, and the result is a searchable index. The lower ",
8,8.8,ch08/make_fig8_8.py,yes,"Macro-averaged F1 computed from a confusion matrix, on illustrative counts for four Arabic varieties. Rows are true labels and columns are predicted labels. The three readings the metric needs are marked for one class, h",
9,9.1,ch09/make_fig9_1.py,yes,The text-to-speech pipeline. The front end normalizes text and produces phonemes; the acoustic model turns phonemes into a mel spectrogram; the vocoder turns that into a waveform.,
9,9.2,ch09/make_fig9_2.py,yes,"The Arabic front end. The undiacritized form علم has several readings; diacritization selects one, and grapheme-to-phoneme conversion turns it into phonemes.",
9,9.3,ch09/make_fig9_3.py,yes,"Two neural acoustic models on one skeleton, so that what separates them shows up as a difference in shape. Both take phonemes through an encoder, a middle stage, a decoder, and out as a mel spectrogram. Tacotron 2 has at",
9,9.4,ch09/make_fig9_4.py,yes,"Three ways of getting from a written form to a waveform, drawn on one skeleton so that the difference between them is a difference in shape. Read each row from left to right. All three end on the same thing, a waveform. ",
9,9.5,ch09/make_fig9_5.py,yes,Evaluating synthesis. Listeners rate naturalness on the MOS scale; an automatic recognizer provides an objective intelligibility cross-check via WER.,
10,10.1,ch10/make_fig10_1.py,yes,"Two speech-translation architectures on one skeleton, so that what separates them shows up as a difference in shape. Both rows begin on the same Arabic audio and end on the same English text. What differs is the middle, ",
10,10.2,ch10/make_fig10_2.py,yes,"What the transcript costs, on one Gulf sentence. أبغى is the Gulf and Najdi word for ‘I want’, and a recognizer trained mostly on Modern Standard Arabic (MSA) has every reason to prefer أبقى , ‘I stay’, which differs by ",
10,10.3,ch10/make_fig10_3.py,yes,"A wait-k policy with k = 3, drawn on a time axis rather than a step axis. Source words arrive along the top, one every 0.6 seconds; target words are emitted along the bottom, three words behind. The policy is defined in ",
10,10.4,ch10/make_fig10_4.py,yes,"What a word-level metric does to a correct Arabic translation. The two sentences mean the same thing and both are correct Arabic; they differ in two places, and both differences are ordinary in written Arabic. The candid",
10,10.5,ch10/make_fig10_5.py,yes,"The three understanding tasks across two turns of one conversation. The first turn is the sentence this chapter opened on: it carries an intent and two slots, and the state after it holds all three. The second turn is a ",
10,10.6,ch10/make_fig10_6.py,yes,"The spoken dialogue loop, with the two stages Arabic changes marked in orange. Speech is recognized, understood as an intent and its slots, tracked as dialogue state, answered, and spoken back, and the loop then waits fo",
11,11.1,ch11/make_fig11_1.py,yes,"Every architecture this book has built, and the one this chapter builds. The upper band holds one row per task, each a fixed path from one kind of input, through one model, to one kind of output, with the chapter that bu",
11,11.2,ch11/make_fig11_2.py,yes,"What one Arabic recording becomes on its way to the language model, counted at every stage. The top row is the thirty-second window Whisper is built around; the bottom row is an ordinary ten-minute meeting. Four of the f",
11,11.3,ch11/make_fig11_3.py,yes,"The three parts, their sizes, and what flows between them: encode the audio, shorten and project what comes out, then generate text. The encoder takes a spectrogram and emits one vector for every twenty milliseconds of s",
11,11.4,ch11/make_fig11_4.py,yes,"One instruction-tuning example, and why the format teaches a model to route. A single audio clip branches to three instructions and three different targets. The audio is the same in all three rows. A model cannot succeed",
11,11.5,ch11/make_fig11_5.py,yes,"Speech in and speech out, with a language model in the middle. The row of units drawn beneath the pipeline is the reason the middle box can be a language model at all: a language model predicts the next item in a sequenc",
11,11.6,ch11/make_fig11_6.py,yes,The speech agent loop. Four stages run clockwise and the loop closes on the next turn. The two marked in orange and green are what separate an agent from a chat model with a microphone: it can look something up or call a,
12,12.1,ch12/make_fig12_1.py,yes,"The computer-assisted pronunciation training pipeline. The learner reads a text the system already has, which is what makes everything after it possible: with the words known, the audio can be force-aligned to the phones",
12,12.2,ch12/make_fig12_2.py,yes,"Goodness of Pronunciation read off a forced alignment. Each aligned segment gets one bar for how well the audio matches the phone the learner was supposed to produce, and everything below the threshold is flagged. The ex",
12,12.3,ch12/make_fig12_3.py,yes,"A healthcare voice interface, drawn around the part that decides whether it is safe. The pipeline across the middle is short and ordinary, and it is not the system. The system is the pipeline plus the gate that stops it ",
13,13.1,ch13/make_fig13_1.py,yes,"A threat-and-harm model for an Arabic speech system, drawn in columns rather than as two lists. A threat sits above the system and the safeguard that answers it sits below, in the same column, so a reader can take one co",
13,13.2,ch13/make_fig13_2.py,yes,"Voice anonymization, with the measurement attached. The pipeline across the top separates what was said from who said it and puts a different identity back, and the two boxes underneath are not later stages but two thing",
13,13.3,ch13/make_fig13_3.py,yes,"Audio watermarking, embedded once and detected later. The top row is what the generator does at the moment the audio is made, which is the only moment the mark can go in, and this is why watermarking depends on generator",
13,13.4,ch13/make_fig13_4.py,yes,"What an average hides. Eight illustrative word error rates, four dialects by two genders, with the pooled average drawn across them as a single line. Every bar below the line is a group the pooled number reports as fine,",
13,13.5,ch13/make_fig13_5.py,yes,"A published set of responsible AI principles, with the sections of this chapter that answer each one. The six are Microsoft’s published principles, taken here as one widely used industry framework rather than as the fram",
14,14.1,ch14/make_fig14_1.py,yes,"The project lifecycle, and the conditions it runs under. Eight stages, read left to right along the top row and then along the bottom: the specification decides everything after it, and the datasheet is what survives the",
14,14.2,ch14/make_fig14_2.py,yes,"The annotation workflow, with the loop that closes it. Raw audio and the written guideline feed an optional first pass from a recognizer, drawn dashed because it can be skipped and because the correction after it cannot.",
